Row,coelomocyte,endocrine,epithelium,excretory,germline,gland,glia,gonad,hypodermis,intestine,mesoderm,muscle,neuron,pharynx,seam,valve,vulva
RC01987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RC00554,4,11.8886,167.8714,203.2849,14.9164,18.0033,65.3105,83.3217,270.2344,405.5099,6.9438,318.5298,13.8669,2115.3621,59.8867,7.0463,42.4341
SNK0102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RCC0137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RCC0138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RCC0200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RCC0206,1,1,1.2906,1,6.4582,1.3685,4.2929,1.3707,105.3302,170.8696,1,1.7093,1.9709,1,4.3091,16.2316,2.8302
RCC0207,2,2,2.9685,2,7.4582,2.737,6.0769,2.7413,94.7914,118.9232,3.9626,2.4729,2.858,2,6.7798,2,2
RCC0210,12.43,44.3875,20.5638,24.4453,11.9165,4.6851,22.3254,25.4637,50.5208,120.1293,10.8126,12.6638,9.2865,7.1377,17.7905,16.2316,55.9058
RCC0211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RCC0213,1,1,1.2906,1,6.4582,1.3685,4.2929,1.3707,105.3302,77.0073,1,1.7093,1.9709,1,4.3091,3.5232,2
RCC0218,1,1,1.2906,1,6.4582,1.3685,4.2929,1.3707,105.3302,147.6024,1,1.7093,1.9709,1,4.3091,15.7085,2.8302
RCC0219,2,2,3.0654,2,7.4582,2.737,6.0769,2.7413,95.0318,77.0073,2.9813,2.4729,2.5645,2,6.6572,2,2
RCC0226,1,1,1.2906,1,6.4582,1.3685,4.2929,1.3707,105.3302,170.8696,1,1.7093,1.9709,1,4.3091,16.2316,2.8302
RCC0227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RCC0228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RCC0229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RCC0230,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RCC0231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RCC0232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RCC0233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RCC0234,12.43,1,1.2906,1,6.4582,1.737,5.2337,1.3707,156.053,223.8159,1,1.7881,2.0838,1,5.7798,16.2316,4.6604
TCE5115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TCE5116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TCE5117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TCE5118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TCE5119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TCE5120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TCE5121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RC01184,1,1,2.3559,59.6132,6.4582,2.474,9.3106,1.3707,135.86,12.0305,1,1.8669,1.6774,7.1377,149.9084,1,2.8302
RC02957,26.86,504.9288,70.7302,97.7811,58.5824,47.1156,494.0145,60.7113,253.0464,211.3732,65.8196,148.7735,68.0789,169.7174,146.5353,93.8666,73.5474
RC01483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DGR0001,5,32.6102,21.7552,110.5037,103.2484,196.9938,102.6892,11.3014,34.8086,10949.4526,48.1756,24.4661,63.7277,29.5508,25.835,58.3107,10.4906
DGR0002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DGR0003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DGR0004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DGR0005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DGR0006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DGR0007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DGR0008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
